id	country	date	headline	context	tag
t1_0001	colombia	2014-01	Leones derrota a Tigres y empata la serie final de la Copa Versus de Béisbol	La serie se traslada a Montería, donde se jugarán el tercero, cuarto y quinto juego. En un	real
t1_0002	colombia	2024-09	La ciencia revela el misterio de la construcción de una de las pirámides más antiguas de Egipto	Los investigadores señalan que pudo utilizarse un sistema hidráulico para generar presión. En la	real
t1_0003	colombia	2018-01	Por elegir ‘Mi gente’ de J Balvin como canción del año, Obama es citado a audiometría. Polémica.	Tras el anuncio que el ex presidente de los Estados Unidos eligió a Mi Gente de J Balvin como su	satirical
t1_0004	colombia	2023-12	Pacho Maturana, nuevo técnico del peor equipo del mundo	El experimentado técnico colombiano acaba de firmar un contrato con la federación de fútbol de	satirical
t1_0005	mexico	2017-09	México buscará certeza jurídica para “dreamers”: Videgaray	El canciller mexicano advirtió que se actuará por la vía diplomática a fin de promover ante el	real
t1_0006	mexico	2020-08	IMSS ficha a peñistas amigos de los Robledo	Los escándalos en el Instituto Mexicano del Seguro Social (IMSS) se superan uno a otro, mientras el	real
t1_0007	mexico	2018-09	Oxxos venderán tarjetas Premium para atenderte en la exclusiva segunda caja	Sólo costará $500 pesitos pero ya no harás fila Cadena Imperial.- Ante las constantes quejas de los	satirical
t1_0008	mexico	2026-01	Argentinos se dicen espantados de cómo se devaluó el rial de Irán	Hasta el Banco Central Argentino está espantado Malvinas Devaluadas.- Ciudadanos argentinos	satirical
t1_0009	puerto_rico	2023-09	LUMA advierte sobre posibles interrupciones de servicio durante la noche	El consorcio insta a la ciudadanía a ser prudentes con el servicio eléctrico. El consorcio LUMA	real
t1_0010	puerto_rico	2021-04	Alcalde de Coamo solicita 2,000 vacunas a Salud y anuncia esfuerzos contra COVID-19	Busca adelantar la inmunidad de rebaño en su municipio. El alcalde de Coamo, Juan Carlos García	real
t1_0011	puerto_rico	2020-08	Dios abandonó a Tata Charbonier porque ella no diezmó de todo lo que se robó	La próximamente ex representante Milagros «Tata» Charbonier fue arrestada el pasado lunes por haber	satirical
t1_0012	puerto_rico	2012-01	Rivera Schatz critica a García Padilla por robarle la idea de robarle ideas al pueblo	Thomas Rivera Schatz, Presidente del Senado, acusó a Alejandro García Padilla, candidato a la	satirical
t1_0013	spain	2014-11	Arranca la búsqueda de petróleo en Canarias	Repsol llegó ayer al punto donde comenzarán las prospecciones El proyecto ha enfrentado a los	real
t1_0014	spain	2016-03	El cine que viene con la primavera	Además de planes al aire libre, parques, flores y paseos, la primavera viene cargada de películas	real
t1_0015	spain	2025-02	Un equipo de matemáticos, físicos e historiadores sigue estudiando si el saludo que hizo Musk es nazi o no y espera llegar a conclusiones en 2028	Para el equipo multidisciplinar, por ahora la única certeza es que Musk hizo “un saludo” que por	satirical
t1_0016	spain	2015-09	Alaska, desconcertada porque a nadie le importa lo que ella diga	Mi vida les importa un bledo. ¿por qué será?, se pregunta la cantante La cantante Alaska ha	satirical
t1_0017	uruguay	2024-01	Rompió el silencio. Romina Uhrig sobre los rumores de romance con Miguel Barriola: “Es un amigo que conocí”	Tras ser vinculada con el basquetbolista uruguayo, la ex Gran Hermano negó tener una relación	real
t1_0018	uruguay	2023-05	Álvaro Delgado: “La solución final es que llueva”	El secretario de la Presidencia se refirió a los problemas de abastecimiento de agua potable y	real
t1_0019	uruguay	2021-04	Rendirán homenaje a los alumnos liceales que sobrevivieron a Graciela Bianchi	Los profesores que trabajaron en el liceo Bauzá cuando la legisladora nacionalista era directora	satirical
t1_0020	uruguay	2017-11	Hollywood: comenzó el acoso sexual a estrellas interesadas en conseguir un papel en películas sobre escándalos de acoso sexual	La semana pasada trascendió que el director Ridley Scott decidió filmar de nuevo varias escenas de	satirical
t1_0021	venezuela	2022-03	El dermatólogo Jorge Luis Vera Toledo: “Entre las secuelas por covid-19 está la alopecia”	El dermatólogo e internista Jorge Luis Vera Toledo, con más de 30 años de trayectoria, explica que	real
t1_0022	venezuela	2020-01	Empresa venezolana Joy presente en Feria Mundial de Navidad 2020 en Frankfurt	Joy Arte y Decoración, compañía de fabricación de artículos navideños más grande Venezuela ya se	real
t1_0023	venezuela	2019-10	Joven se lleva meñique con borde de la cama y culpa al foro de Sao Paulo	“Coño de la madre, maldito Foro de Sao Paulo que puso esta mierda aquí” fue la frase que gritó el	satirical
t1_0024	venezuela	2019-09	Colombia anuncia que es territorio 100% libre de las FARC porque todos están en Venezuela	En un mensaje de esperanza sobre la conclusión de la lucha armada en Colombia que ha dejado como	satirical
