id	headline	joke	tag
t2_0001	Restaurante vegano de Nueva York volverá a servir carne para atraer más clientes	Un restaurante vegano en Nueva York va a empezar a servir carne. ¡Supongo que por fin encontraron una manera de hacer que la gente coma sus verduras... sirviéndolas como acompañamiento!	machine
t2_0002	Histórico hallazgo: una carta de San Martín revela vínculos clave en la independencia sudamericana	La sorpresa fue mayor cuando vieron que la carta era el As de Espadas. San Martín habría ganado la independencia jugando al truco. 	human
t2_0003	Cuáles son los efectos de incluir robots en la educación y cómo es su impacto en el rendimiento de los estudiantes	¿Por qué los robots son tan buenos en la educación? Porque siempre tienen la respuesta correcta... ¡y nunca se quejan de la tarea!	machine
t2_0004	Los misterios del Mar Muerto: cómo se forman sus impresionantes estructuras de sal	"- Papá,  ¿viste que se puede flotar sobre el Mar Muerto?
- ¡Está salado!"	human
t2_0005	Yamandú Orsi se reunirá con el papa León XIV en Roma el próximo 17 de octubre	Solo un milagro puede ayudarlo a salvar el país.	human
t2_0006	La fulminante respuesta de Cristiano Ronaldo ante una pregunta sobre el Balón de Oro	"Cristiano Ronaldo dio una respuesta fulminante al preguntarle por el Balón de Oro: ""¡Ese trofeo es mío! Si no, que lo fundan y me hagan una corona para mi ego""."	machine
t2_0007	Precio de Tesla usados en EE.UU. cae por debajo de la media del mercado	Si cayó debajo de la media debe ser que ya está en el suelo.	human
t2_0008	Paso a paso, cómo será votar por primera vez con Boleta Única Papel en las elecciones del 26 de octubre	¿Paso a paso? Suena como una coreografía de TikTok para ir a votar. ¡Solo falta la canción viral y los challenges!	machine
t2_0009	Restaurante vegano de Nueva York volverá a servir carne para atraer más clientes	Como dijo Groucho Marx, estos son mis principios, pero si no te sirven tengo otros.	human
t2_0010	La fulminante respuesta de Cristiano Ronaldo ante una pregunta sobre el Balón de Oro	"- Cristiano Ronaldo , ¿qué diría en caso de ganar el balón de oro teniendo en cuenta que compite con su archienemigo Lionel Messi?
- Qué inshustisia"""	human
t2_0011	El encuentro de Max Verstappen y el jefe de Mercedes en un yate de lujo que sacudió a la Fórmula 1	"- ¿Qué le dijo Toto Wolff a Max Verstappen en el yate?
- ""Tranquilo, campeón, aquí no hay límites de pista."""	machine
t2_0012	El “padrino de la IA” revela el único camino posible para sobrevivir a la superinteligencia artificial	El padrino de la IA revela el único camino para sobrevivir a la superinteligencia: ¡ofrecerle un trato que no pueda rechazar... como ser su beta tester eterno!	machine
